img,parish_all,parish_rem
LMOBPS450010008,0,0
LMOBPS450050035,0,0
LMOBPS450080031,0,0
LMOBPS450080035,0,0
LMOBPS450080078,0,0
LMOBPS450090106,0,0
LMOBPS450100121,0,0
LMOBPS450100181,0,0
LMOBPS450120174,0,0
LMOBPS450120222,0,0
LMOBPS450140019,0,0
LMOBPS450140095,0,0
LMOBPS450140187,0,0
LMOBPS450150277,0,0
LMOBPS450170099,0,0
LMOBPS450190353,0,0
LMOBPS450190417,0,0
LMOBPS450190434,0,0
LMOBPS450220210,0,0
LMOBPS450360396,0,0
LMSLPS150010043,1,0
LMSLPS150010044,1,1
LMSLPS150010045,0,0
LMSLPS150010048,1,0
LMSLPS150020032,0,0
LMSLPS150020034,1,0
LMSLPS150020035,0,0
LMSLPS150020041,1,1
LMSLPS150030045,0,0
LMSLPS150030174,1,1
LMSLPS150030176,1,1
LMSLPS150030179,1,1
LMSLPS150030182,1,1
LMSLPS150040196,1,1
LMSLPS150040198,1,1
LMSLPS150040200,1,1
LMSLPS150040205,1,1
LMSLPS150040207,1,1
LMSLPS150040211,1,1
LMSLPS150040213,1,1
LMSLPS150040216,1,1
LMSLPS150040217,1,1
LMSLPS150040220,1,1
LMSLPS150040221,1,1
LMSLPS150040229,1,1
LMSLPS150050042,0,0
LMSLPS150050072,1,1
LMSLPS150050157,1,1
LMSLPS150050158,1,1
LMSLPS150050162,1,1
LMSLPS150050165,1,1
LMSLPS150050167,1,1
LMSLPS150050170,1,1
LMSLPS150050175,1,1
LMSLPS150050177,1,1
LMSLPS150050182,1,1
LMSLPS150050184,1,0
LMSLPS150050185,1,0
LMSLPS150050186,1,0
LMSLPS150050187,1,0
LMSLPS150050188,1,0
LMSLPS150050189,1,0
LMSLPS150050190,1,0
LMSLPS150050191,1,0
LMSLPS150050192,1,0
LMSLPS150050193,1,0
LMSLPS150050194,1,1
LMSLPS150060132,1,1
LMSLPS150060134,1,1
LMSLPS150060135,1,1
LMSLPS150060137,1,1
LMSLPS150060138,1,1
LMSLPS150060141,1,1
LMSLPS150060144,1,1
LMSLPS150060147,1,1
LMSLPS150060148,1,0
LMSLPS150060149,0,0
LMSLPS150060151,0,0
LMSLPS150060153,0,0
LMSLPS150060155,0,0
LMSLPS150060156,1,0
LMSLPS150070049,0,0
LMSLPS150070050,0,0
LMSLPS150070101,0,0
LMSLPS150070115,0,0
LMSLPS150070122,1,0
LMSLPS150070123,1,0
LMSLPS150070129,0,0
LMSLPS150070131,0,0
LMSLPS150070138,1,1
LMSLPS150070184,0,0
LMSLPS150070185,0,0
LMSLPS150070186,0,0
LMSLPS150070187,0,0
LMSLPS150070188,0,0
LMSLPS150070189,0,0
LMSLPS150070190,0,0
LMSLPS150070191,0,0
LMSLPS150070192,0,0
LMSLPS150070193,0,0
LMSLPS150070195,0,0
LMSLPS150070196,0,0
LMSLPS150070197,0,0
LMSLPS150070199,0,0
LMSLPS150070201,0,0
LMSLPS150070202,0,0
LMSLPS150070203,0,0
LMSLPS150070204,0,0
LMSLPS150070205,0,0
LMSLPS150070206,0,0
LMSLPS150070207,0,0
LMSLPS150070208,0,0
LMSLPS150070209,0,0
LMSLPS150070210,0,0
LMSLPS150070211,0,0
LMSLPS150070212,0,0
LMSLPS150070213,0,0
LMSLPS150070216,0,0
LMSLPS150070220,0,0
LMSLPS150070230,1,1
LMSLPS150080030,1,1
LMSLPS150080058,0,0
LMSLPS150080059,0,0
LMSLPS150080067,1,0
LMSLPS150080068,0,0
LMSLPS150080071,0,0
LMSLPS150080072,0,0
LMSLPS150080078,0,0
LMSLPS150080108,0,0
LMSLPS150080137,0,0
LMSLPS150080138,0,0
LMSLPS150080139,0,0
LMSLPS150080140,0,0
LMSLPS150080142,1,0
LMSLPS150080144,1,1
LMSLPS150080146,1,1
LMSLPS150080147,1,1
LMSLPS150080148,1,1
LMSLPS150080151,1,1
LMSLPS150080152,1,1
LMSLPS150080153,1,1
LMSLPS150080158,1,1
LMSLPS150080160,1,1
LMSLPS150080162,1,1
LMSLPS150080164,1,1
LMSLPS150080169,1,1
LMSLPS150080171,1,1
LMSLPS150080173,1,1
LMSLPS150080175,1,1
LMSLPS150090010,0,0
LMSLPS150090011,0,0
LMSLPS150090033,1,0
LMSLPS150090035,0,0
LMSLPS150090065,0,0
LMSLPS150090066,0,0
LMSLPS150090069,0,0
LMSLPS150090071,1,1
LMSLPS150090074,0,0
LMSLPS150090078,1,1
LMSLPS150090081,1,1
LMSLPS150090086,1,1
LMSLPS150090090,1,1
LMSLPS150090094,1,1
LMSLPS150090095,1,1
LMSLPS150090097,1,1
LMSLPS150090100,1,1
LMSLPS150090104,1,1
LMSLPS150090105,1,1
LMSLPS150100001,1,0
LMSLPS150100026,0,0
LMSLPS150100059,0,0
LMSLPS150100091,0,0
LMSLPS150100092,0,0
LMSLPS150100093,0,0
LMSLPS150100102,1,0
LMSLPS150100103,0,0
LMSLPS150100104,0,0
LMSLPS150100106,0,0
LMSLPS150100107,1,0
LMSLPS150100108,1,0
LMSLPS150100109,1,1
LMSLPS150100110,1,0
LMSLPS150100112,1,0
LMSLPS150100113,0,0
LMSLPS150100114,0,0
LMSLPS150100115,0,0
LMSLPS150100116,0,0
LMSLPS150100117,0,0
LMSLPS150100118,0,0
LMSLPS150100120,1,1
LMSLPS150100122,1,1
LMSLPS150100124,1,1
LMSLPS150100126,1,1
LMSLPS150100128,1,1
LMSLPS150100130,1,1
LMSLPS150100132,1,1
LMSLPS150100134,1,1
LMSLPS150100135,1,1
LMSLPS150100136,1,1
LMSLPS150100138,1,1
LMSLPS150100140,0,0
LMSLPS150100143,1,1
LMSLPS150100146,1,1
LMSLPS150100148,1,1
LMSLPS150100154,1,1
LMSLPS150100159,1,1
LMSLPS150100161,1,1
LMSLPS150100165,1,1
LMSLPS150100167,1,1
LMSLPS150100169,1,1
LMSLPS150100172,1,1
LMSLPS150100173,1,0
LMSLPS150110002,1,0
LMSLPS150110147,1,0
LMSLPS150110148,0,0
LMSLPS150110149,0,0
LMSLPS150110150,0,0
LMSLPS150110151,0,0
LMSLPS150110153,1,1
LMSLPS150110154,1,0
LMSLPS150110155,1,0
LMSLPS150110158,0,0
LMSLPS150110160,0,0
LMSLPS150110164,1,1
LMSLPS150110167,1,1
LMSLPS150110169,1,1
LMSLPS150110171,1,1
LMSLPS150110175,1,1
LMSLPS150110176,1,1
LMSLPS150110178,1,1
LMSLPS150110180,1,1
LMSLPS150110184,1,1
LMSLPS150110187,1,1
LMSLPS150110191,1,1
LMSLPS150110194,1,1
LMSLPS150110197,1,1
LMSLPS150110199,1,1
LMSLPS150110203,1,1
LMSLPS150110205,1,1
LMSLPS150110207,1,1
LMSLPS150110208,1,1
LMSLPS150110210,1,1
LMSLPS150110212,1,1
LMSLPS150110214,1,1
LMSLPS150110216,1,1
LMSLPS150120038,0,0
LMSLPS150120039,0,0
LMSLPS150120040,0,0
LMSLPS150120041,0,0
LMSLPS150120043,0,0
LMSLPS150130029,0,0
LMSLPS150140028,0,0
LMSLPS150140072,0,0
LMSLPS150140073,0,0
LMSLPS150140074,1,0
LMSLPS150140075,1,0
LMSLPS150140076,0,0
LMSLPS150140079,0,0
LMSLPS150140080,0,0
LMSLPS150140081,0,0
LMSLPS150140082,0,0
LMSLPS150140083,0,0
LMSLPS150140084,0,0
LMSLPS150140085,0,0
LMSLPS150140086,0,0
LMSLPS150140087,0,0
LMSLPS150140088,0,0
LMSLPS150140089,0,0
LMSLPS150140090,0,0
LMSLPS150140091,0,0
LMSLPS150140092,0,0
LMSLPS150140093,0,0
LMSLPS150140094,0,0
LMSLPS150140095,0,0
LMSLPS150140096,0,0
LMSLPS150140097,1,0
LMSLPS150140098,0,0
LMSLPS150140099,1,0
LMSLPS150140100,1,1
LMSLPS150140104,0,0
LMSLPS150140106,1,1
LMSLPS150140112,1,1
LMSLPS150140114,1,1
LMSLPS150140115,1,1
LMSLPS150140116,1,1
LMSLPS150140119,1,1
LMSLPS150150040,0,0
LMSLPS150150041,0,0
LMSLPS150150042,0,0
LMSLPS150150044,1,1
LMSLPS150150046,1,1
LMSLPS150150048,1,1
LMSLPS150160043,1,0
LMSLPS150160067,0,0
LMSLPS150160068,0,0
LMSLPS150160069,0,0
LMSLPS150160070,0,0
LMSLPS150160071,0,0
LMSLPS150160072,0,0
LMSLPS150160073,0,0
LMSLPS150160074,0,0
LMSLPS150160075,0,0
LMSLPS150160076,0,0
LMSLPS150170006,0,0
LMSLPS150170028,0,0
LMSLPS150170041,1,0
LMSLPS150170057,0,0
LMSLPS150170058,0,0
LMSLPS150170067,0,0
LMSLPS150170075,0,0
LMSLPS150170076,0,0
LMSLPS150170077,0,0
LMSLPS150170078,0,0
LMSLPS150170079,1,0
LMSLPS150170081,1,1
LMSLPS150170084,1,1
LMSLPS150170087,1,1
LMSLPS150170090,1,1
LMSLPS150170092,1,1
LMSLPS150170098,1,1
LMSLPS150170100,1,1
LMSLPS150170102,1,1
LMSLPS150170103,1,1
LMSLPS150170105,1,1
LMSLPS150170108,1,1
LMSLPS150170112,1,1
LMSLPS150170113,1,1
LMSLPS150170114,1,1
LMSLPS150180022,0,0
LMSLPS150180063,1,1
LMSLPS150180068,1,1
LMSLPS150180071,1,1
LMSLPS150180073,1,1
LMSLPS150180075,1,1
LMSLPS150180077,1,1
LMSLPS150180079,1,1
LMSLPS150180082,1,1
LMSLPS150180084,1,1
LMSLPS150180086,1,1
LMSLPS150180089,1,1
LMSLPS150180090,1,1
LMSLPS150180093,1,1
LMSLPS150180096,0,0
LMSLPS150180097,0,0
LMSLPS150180098,0,0
LMSLPS150180099,0,0
LMSLPS150180100,0,0
LMSLPS150180101,1,0
LMSLPS150180102,0,0
LMSLPS150190018,0,0
LMSLPS150190021,0,0
LMSLPS150190022,0,0
LMSLPS150190024,0,0
LMSLPS150190032,1,0
LMSLPS150190055,0,0
LMSLPS150190056,0,0
LMSLPS150190057,0,0
LMSLPS150190058,0,0
LMSLPS150190060,1,1
LMSLPS150190065,1,1
LMSLPS150190066,1,1
LMSLPS150190068,1,1
LMSLPS150190069,1,1
LMSLPS150190071,1,1
LMSLPS150190073,1,1
