docid	title	date_year	decade	recipient	recipient_id	recipient_short	recipient_gender	recipient_type	n_words
BC_1760_EMONTAGU_BS	Letter from Elizabeth Montagu to Benjamin Stillingfleet	1760	1750	Benjamin Stillingfleet, Esq.	#BS	Benjamin Stillingfleet	male	friends	323
BC_1768_EMONTAGU_EC_1	Letter from Elizabeth Montagu to Elizabeth Carter	1768	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	1003
BC_1787_EMONTAGU_EV	Letter from Elizabeth Montagu to Elizabeth Vesey	1787	1780	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	966
BC_1759_EMONTAGU_EC_3	Letter from Elizabeth Montagu to Elizabeth Carter	1759	1750	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	1954
BC_1785_EMONTAGU_SS	Letter from Elizabeth Montagu to Sarah Scott	1785	1780	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	817
BC_1764_EMONTAGU_EV_1	Letter from Elizabeth Montagu to Elizabeth Vesey	1764	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	118
BC_1740_EMONTAGU_AD_3	Letter from Elizabeth Robinson to Anne Donnellan	1740	1730	Anne Donnellan	#AD	Anne Donnellan	female	friends	1506
BC_1742_EMONTAGU_ED_4	Letter from Elizabeth Montagu to Edward Montagu	1742	1740	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	551
BC_1777_EMONTAGU_MA_3	Letter from Elizabeth Montagu to Mary Robinson	1777	1770	Mary Robinson	#MA	Mary Robinson	female	nuclear family	594
BC_1777_EMONTAGU_MA_2	Letter from Elizabeth Montagu to Mary Robinson	1777	1770	Mary Robinson	#MA	Mary Robinson	female	nuclear family	1066
BC_1740_EMONTAGU_AD_2	Letter from Elizabeth Robinson to Anne Donnellan	1740	1730	Anne Donnellan	#AD	Anne Donnellan	female	friends	791
